profile,type,REGION,time,price
baseload,Energy,NSW,1/03/2026,106.2
baseload,Energy,QLD,1/03/2026,106.4
baseload,Energy,SA,1/03/2026,122.1
baseload,Energy,VIC,1/03/2026,152.1
solar,Energy,NSW,1/03/2026,91.5
solar,Energy,QLD,1/03/2026,64.4
solar,Energy,SA,1/03/2026,103.3
solar,Energy,VIC,1/03/2026,93.6
solar,green,NSW,1/03/2026,33.8
solar,green,QLD,1/03/2026,33.8
solar,green,SA,1/03/2026,33.8
solar,green,VIC,1/03/2026,33.8
wind,Energy,NSW,1/03/2026,103.6
wind,Energy,QLD,1/03/2026,116.4
wind,Energy,SA,1/03/2026,95.2
wind,Energy,VIC,1/03/2026,145.6
wind,green,NSW,1/03/2026,33.8
wind,green,QLD,1/03/2026,33.8
wind,green,SA,1/03/2026,33.8
wind,green,VIC,1/03/2026,33.8
baseload,green,NSW,1/03/2026,33.8
baseload,green,QLD,1/03/2026,33.8
baseload,green,SA,1/03/2026,33.8
baseload,green,VIC,1/03/2026,33.8
baseload,Energy,NSW,1/04/2026,83.8
baseload,Energy,QLD,1/04/2026,79.9
baseload,Energy,SA,1/04/2026,81.9
baseload,Energy,VIC,1/04/2026,66.2
solar,Energy,NSW,1/04/2026,36.7
solar,Energy,QLD,1/04/2026,31.8
solar,Energy,SA,1/04/2026,45.7
solar,Energy,VIC,1/04/2026,29.5
solar,green,NSW,1/04/2026,33.8
solar,green,QLD,1/04/2026,33.8
solar,green,SA,1/04/2026,33.8
solar,green,VIC,1/04/2026,33.8
wind,Energy,NSW,1/04/2026,85.5
wind,Energy,QLD,1/04/2026,76.6
wind,Energy,SA,1/04/2026,63.1
wind,Energy,VIC,1/04/2026,41.2
wind,green,NSW,1/04/2026,33.8
wind,green,QLD,1/04/2026,33.8
wind,green,SA,1/04/2026,33.8
wind,green,VIC,1/04/2026,33.8
baseload,green,NSW,1/04/2026,33.8
baseload,green,QLD,1/04/2026,33.8
baseload,green,SA,1/04/2026,33.8
baseload,green,VIC,1/04/2026,33.8
baseload,Energy,NSW,1/05/2026,87.3
baseload,Energy,QLD,1/05/2026,85.8
baseload,Energy,SA,1/05/2026,50.6
baseload,Energy,VIC,1/05/2026,26.5
solar,Energy,NSW,1/05/2026,31.4
solar,Energy,QLD,1/05/2026,32.6
solar,Energy,SA,1/05/2026,6.1
solar,Energy,VIC,1/05/2026,-8.5
solar,green,NSW,1/05/2026,33.8
solar,green,QLD,1/05/2026,33.8
solar,green,SA,1/05/2026,33.8
solar,green,VIC,1/05/2026,33.8
wind,Energy,NSW,1/05/2026,87.2
wind,Energy,QLD,1/05/2026,87.8
wind,Energy,SA,1/05/2026,22.6
wind,Energy,VIC,1/05/2026,4.6
wind,green,NSW,1/05/2026,33.8
wind,green,QLD,1/05/2026,33.8
wind,green,SA,1/05/2026,33.8
wind,green,VIC,1/05/2026,33.8
baseload,green,NSW,1/05/2026,33.8
baseload,green,QLD,1/05/2026,33.8
baseload,green,SA,1/05/2026,33.8
baseload,green,VIC,1/05/2026,33.8
baseload,Energy,NSW,1/06/2026,148.2
baseload,Energy,QLD,1/06/2026,121.5
baseload,Energy,SA,1/06/2026,85.6
baseload,Energy,VIC,1/06/2026,101.6
solar,Energy,NSW,1/06/2026,105.8
solar,Energy,QLD,1/06/2026,70.2
solar,Energy,SA,1/06/2026,61.5
solar,Energy,VIC,1/06/2026,118.4
solar,green,NSW,1/06/2026,33.8
solar,green,QLD,1/06/2026,33.8
solar,green,SA,1/06/2026,33.8
solar,green,VIC,1/06/2026,33.8
wind,Energy,NSW,1/06/2026,139.3
wind,Energy,QLD,1/06/2026,115.5
wind,Energy,SA,1/06/2026,50.3
wind,Energy,VIC,1/06/2026,80.4
wind,green,NSW,1/06/2026,33.8
wind,green,QLD,1/06/2026,33.8
wind,green,SA,1/06/2026,33.8
wind,green,VIC,1/06/2026,33.8
baseload,green,NSW,1/06/2026,33.8
baseload,green,QLD,1/06/2026,33.8
baseload,green,SA,1/06/2026,33.8
baseload,green,VIC,1/06/2026,33.8
baseload,Energy,NSW,1/07/2026,131.3
baseload,Energy,QLD,1/07/2026,82.7
baseload,Energy,SA,1/07/2026,143.9
baseload,Energy,VIC,1/07/2026,81
solar,Energy,NSW,1/07/2026,59.4
solar,Energy,QLD,1/07/2026,12.4
solar,Energy,SA,1/07/2026,103.7
solar,Energy,VIC,1/07/2026,57.5
solar,green,NSW,1/07/2026,33.8
solar,green,QLD,1/07/2026,33.8
solar,green,SA,1/07/2026,33.8
solar,green,VIC,1/07/2026,33.8
wind,Energy,NSW,1/07/2026,120.7
wind,Energy,QLD,1/07/2026,79.4
wind,Energy,SA,1/07/2026,70.6
wind,Energy,VIC,1/07/2026,55.8
wind,green,NSW,1/07/2026,33.8
wind,green,QLD,1/07/2026,33.8
wind,green,SA,1/07/2026,33.8
wind,green,VIC,1/07/2026,33.8
baseload,green,NSW,1/07/2026,33.8
baseload,green,QLD,1/07/2026,33.8
baseload,green,SA,1/07/2026,33.8
baseload,green,VIC,1/07/2026,33.8
baseload,Energy,NSW,1/08/2026,119
baseload,Energy,QLD,1/08/2026,77.3
baseload,Energy,SA,1/08/2026,118.8
baseload,Energy,VIC,1/08/2026,85.4
solar,Energy,NSW,1/08/2026,65.9
solar,Energy,QLD,1/08/2026,9.3
solar,Energy,SA,1/08/2026,68.9
solar,Energy,VIC,1/08/2026,61
solar,green,NSW,1/08/2026,33.8
solar,green,QLD,1/08/2026,33.8
solar,green,SA,1/08/2026,33.8
solar,green,VIC,1/08/2026,33.8
wind,Energy,NSW,1/08/2026,106.4
wind,Energy,QLD,1/08/2026,81.9
wind,Energy,SA,1/08/2026,59.2
wind,Energy,VIC,1/08/2026,54.3
wind,green,NSW,1/08/2026,33.8
wind,green,QLD,1/08/2026,33.8
wind,green,SA,1/08/2026,33.8
wind,green,VIC,1/08/2026,33.8
baseload,green,NSW,1/08/2026,33.8
baseload,green,QLD,1/08/2026,33.8
baseload,green,SA,1/08/2026,33.8
baseload,green,VIC,1/08/2026,33.8
baseload,Energy,NSW,1/09/2026,91.8
baseload,Energy,QLD,1/09/2026,70.6
baseload,Energy,SA,1/09/2026,74.5
baseload,Energy,VIC,1/09/2026,73.3
solar,Energy,NSW,1/09/2026,41.2
solar,Energy,QLD,1/09/2026,2.2
solar,Energy,SA,1/09/2026,31.8
solar,Energy,VIC,1/09/2026,32.1
solar,green,NSW,1/09/2026,33.8
solar,green,QLD,1/09/2026,33.8
solar,green,SA,1/09/2026,33.8
solar,green,VIC,1/09/2026,33.8
wind,Energy,NSW,1/09/2026,90.5
wind,Energy,QLD,1/09/2026,76.4
wind,Energy,SA,1/09/2026,49.5
wind,Energy,VIC,1/09/2026,47.8
wind,green,NSW,1/09/2026,33.8
wind,green,QLD,1/09/2026,33.8
wind,green,SA,1/09/2026,33.8
wind,green,VIC,1/09/2026,33.8
baseload,green,NSW,1/09/2026,33.8
baseload,green,QLD,1/09/2026,33.8
baseload,green,SA,1/09/2026,33.8
baseload,green,VIC,1/09/2026,33.8
baseload,Energy,NSW,1/10/2026,82.5
baseload,Energy,QLD,1/10/2026,66.4
baseload,Energy,SA,1/10/2026,50.4
baseload,Energy,VIC,1/10/2026,61.6
solar,Energy,NSW,1/10/2026,41.9
solar,Energy,QLD,1/10/2026,10.6
solar,Energy,SA,1/10/2026,19.4
solar,Energy,VIC,1/10/2026,31.5
solar,green,NSW,1/10/2026,33.8
solar,green,QLD,1/10/2026,33.8
solar,green,SA,1/10/2026,33.8
solar,green,VIC,1/10/2026,33.8
wind,Energy,NSW,1/10/2026,84.1
wind,Energy,QLD,1/10/2026,73.3
wind,Energy,SA,1/10/2026,30.4
wind,Energy,VIC,1/10/2026,42.5
wind,green,NSW,1/10/2026,33.8
wind,green,QLD,1/10/2026,33.8
wind,green,SA,1/10/2026,33.8
wind,green,VIC,1/10/2026,33.8
baseload,green,NSW,1/10/2026,33.8
baseload,green,QLD,1/10/2026,33.8
baseload,green,SA,1/10/2026,33.8
baseload,green,VIC,1/10/2026,33.8
baseload,Energy,NSW,1/11/2026,73.2
baseload,Energy,QLD,1/11/2026,74.1
baseload,Energy,SA,1/11/2026,48.3
baseload,Energy,VIC,1/11/2026,55.6
solar,Energy,NSW,1/11/2026,39
solar,Energy,QLD,1/11/2026,37.5
solar,Energy,SA,1/11/2026,17.3
solar,Energy,VIC,1/11/2026,22.1
solar,green,NSW,1/11/2026,33.8
solar,green,QLD,1/11/2026,33.8
solar,green,SA,1/11/2026,33.8
